,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url 
1611,ラヂオの時間,1997年,103分,日本,コメディ,ドラマ,ジャンル記載なし,ジャンル記載なし,3.89,1035,33.7,34.9,22.0,5.6,3.8,4.25988,4.55367,4.26553,3.8079,3.76836,https://movies.yahoo.co.jp/movie/153384
1612,エンド・オブ・ステイツ,2019年,121分,アメリカ,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,3.86,1035,25.9,43.4,24.5,3.6,2.6,3.38666,4.02666,3.84666,3.94666,3.36241,https://movies.yahoo.co.jp/movie/369672
1613,そんな彼なら捨てちゃえば？,2009年,130分,アメリカ,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.42,1034,13.6,31.4,41.2,10.4,3.3,3.48909,3.98136,3.42006,3.31974,3.20504,https://movies.yahoo.co.jp/movie/333367
1614,ミュウツーの逆襲 EVOLUTION,2019年,98分,日本,アドベンチャー,アクション,ファミリー,アニメ,3.59,1034,34.1,23.5,21.4,9.3,11.7,3.61349,4.01234,3.3913,3.61963,3.78527,https://movies.yahoo.co.jp/movie/366607
1615,マッドマックス2,1981年,96分,オーストラリア,アクション,SF,ジャンル記載なし,ジャンル記載なし,4.0,1033,36.4,36.2,20.2,5.1,2.0,3.80392,4.30519,4.32467,4.27631,3.74509,https://movies.yahoo.co.jp/movie/22238
1616,ブレードランナー　ファイナル・カット,1982、2007年,117分,アメリカ,SF,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.08,1031,43.4,31.3,17.9,4.9,2.5,4.13756,4.34391,4.25396,4.59259,4.20634,https://movies.yahoo.co.jp/movie/329131
1617,プライドと偏見,2005年,127分,イギリス,ロマンス,コメディ,ジャンル記載なし,ジャンル記載なし,4.02,1030,38.5,34.5,19.4,5.2,2.3,4.10769,4.20103,3.98966,4.49095,4.04909,https://movies.yahoo.co.jp/movie/323368
1618,はじまりへの旅,2016年,119分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.76,1030,22.4,43.3,25.7,5.1,3.5,3.59322,4.11965,3.64957,3.82905,3.64957,https://movies.yahoo.co.jp/movie/358906
1619,虹の女神　Rainbow Song,2006年,118分,日本,ロマンス,青春,ドラマ,ジャンル記載なし,4.13,1030,44.9,32.6,15.7,4.4,2.4,3.9756,4.50381,4.08702,4.31908,3.99235,https://movies.yahoo.co.jp/movie/325606
1620,アメリカン・ヒストリーX,1998年,120分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.32,1029,51.7,33.5,11.5,1.9,1.4,4.50588,4.72047,4.34387,4.26377,3.88888,https://movies.yahoo.co.jp/movie/159712
1621,J・エドガー,2011年,137分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.25,1028,10.8,27.0,43.2,14.3,4.7,3.46835,3.97791,3.69716,3.57728,3.46349,https://movies.yahoo.co.jp/movie/340895
1622,ルパン三世vs名探偵コナン THE MOVIE,2013年,107分,日本,サスペンス,アニメ,ジャンル記載なし,ジャンル記載なし,3.65,1028,33.7,25.5,21.8,10.5,8.6,3.48199,3.95238,3.70473,3.85793,4.05898,https://movies.yahoo.co.jp/movie/346346
1623,ニキータ,1990年,117分,フランス,アクション,サスペンス,ドラマ,ジャンル記載なし,3.56,1027,17.9,36.2,32.8,9.5,3.5,3.57823,3.77551,3.70547,3.63945,3.4589,https://movies.yahoo.co.jp/movie/16812
1624,カンフー・パンダ,2007年,92分,アメリカ,コメディ,アクション,アニメ,ジャンル記載なし,3.85,1027,29.3,38.0,24.3,5.0,3.5,3.82235,4.06868,4.06412,4.43887,3.88306,https://movies.yahoo.co.jp/movie/329522
1625,7つの贈り物,2008年,123分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.3,1026,14.6,28.8,35.5,14.3,6.8,3.17763,3.79738,3.17943,3.2989,3.19555,https://movies.yahoo.co.jp/movie/332665
1626,XMEN2,2003年,125分,アメリカ,SF,アクション,ジャンル記載なし,ジャンル記載なし,3.59,1025,13.2,40.4,40.0,5.5,1.0,3.71428,4.16071,3.73214,4.0625,3.49107,https://movies.yahoo.co.jp/movie/239768
1627,ライアー×ライアー,2021年,117分,日本,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.45,1024,44.2,12.2,6.0,19.1,18.5,4.15277,4.40972,4.20138,4.125,4.25694,https://movies.yahoo.co.jp/movie/373041
1628,メゾン・ド・ヒミコ,2005年,131分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.79,1024,30.5,33.2,24.5,9.0,2.8,3.79892,4.32795,3.80376,4.04312,3.82113,https://movies.yahoo.co.jp/movie/321911
1629,THE GUILTY／ギルティ,2018年,88分,デンマーク,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.6,1023,18.3,40.9,27.2,10.4,3.3,3.54545,3.74096,3.74698,3.01807,2.8606,https://movies.yahoo.co.jp/movie/366132
1630,ミレニアム　ドラゴン・タトゥーの女,2009年,153分,"スウェーデン,デンマーク,ドイツ",サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.01,1023,33.1,41.8,19.7,3.4,2.0,4.19936,4.02848,3.92698,3.90822,3.58544,https://movies.yahoo.co.jp/movie/335133
1631,明日の記憶,2005年,122分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.02,1023,36.4,39.0,18.3,3.4,2.9,4.17241,4.58349,4.03448,3.92145,3.80924,https://movies.yahoo.co.jp/movie/322816
1632,GODZILLA 星を喰う者,2018年,90分,日本,SF,アクション,アニメ,ジャンル記載なし,2.47,1022,11.3,12.1,21.8,22.2,32.6,2.1875,2.95804,2.23076,3.05555,2.83508,https://movies.yahoo.co.jp/movie/364403
1633,"僕たちは世界を変えることができない。 But, we wanna build a school in Cambodia.",2011年,126分,日本,ドラマ,青春,ジャンル記載なし,ジャンル記載なし,2.99,1020,26.7,18.8,14.9,6.3,33.3,3.9938,4.14375,3.78996,3.99062,3.7405,https://movies.yahoo.co.jp/movie/339230
1634,リング,1998年,95分,日本,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.66,1018,23.5,35.7,28.4,8.6,3.8,4.03684,3.90476,4.14814,4.07936,3.89417,https://movies.yahoo.co.jp/movie/87884
1635,ブレイブ ワン,2007年,122分,"アメリカ,オーストラリア",サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.37,1018,12.7,33.1,37.6,11.4,5.2,3.314,4.018,3.47686,3.44377,3.26411,https://movies.yahoo.co.jp/movie/328167
1636,たたら侍,2016年,120分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.37,1018,18.3,8.7,12.6,12.2,48.2,2.12021,2.6448,2.28804,3.40106,3.01075,https://movies.yahoo.co.jp/movie/357347
1637,タワーリング・インフェルノ,1974年,165分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.27,1017,47.4,35.8,14.2,1.8,0.9,4.39487,4.7835,4.40206,4.38144,4.03108,https://movies.yahoo.co.jp/movie/14277
1638,ONCE　ダブリンの街角で,2006年,87分,アイルランド,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.87,1016,30.5,38.7,20.5,7.6,2.8,3.78175,4.11803,3.87908,3.83986,4.56535,https://movies.yahoo.co.jp/movie/328354
1639,ラッキーナンバー7,2006年,111分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.78,1015,24.1,40.7,26.5,6.7,2.0,3.93248,4.31934,3.83912,3.77372,3.53775,https://movies.yahoo.co.jp/movie/324632
1640,オーストラリア,2008年,165分,オーストラリア,ドラマ,ロマンス,アドベンチャー,ジャンル記載なし,3.25,1015,27.9,17.4,24.2,12.8,17.6,2.54713,3.51552,2.74948,3.36721,2.97703,https://movies.yahoo.co.jp/movie/331364
1641,黄金を抱いて翔べ,2012年,129分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.78,1015,15.3,16.5,24.7,18.2,25.3,2.66554,3.4858,2.6554,2.77419,2.59966,https://movies.yahoo.co.jp/movie/342733
1642,スイス・アーミー・マン,2016年,97分,"スウェーデン,アメリカ",コメディ,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.22,1014,14.1,27.9,33.8,14.3,9.9,3.22155,3.79041,3.42771,3.53012,3.35757,https://movies.yahoo.co.jp/movie/360839
1643,夕凪の街　桜の国,2007年,118分,日本,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,4.27,1014,55.0,25.4,13.5,3.9,2.2,4.54438,4.40871,4.0236,4.15151,3.97297,https://movies.yahoo.co.jp/movie/327271
1644,トイレのピエタ,2015年,120分,日本,青春,ロマンス,ジャンル記載なし,ジャンル記載なし,2.93,1013,22.8,20.0,16.7,8.8,31.7,3.57264,4.00854,3.62393,3.72649,3.6923,https://movies.yahoo.co.jp/movie/351114
1645,ミュンヘン,2005年,164分,アメリカ,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.63,1011,20.8,37.5,29.7,8.1,4.0,3.76785,3.95515,3.79596,3.79775,3.5695,https://movies.yahoo.co.jp/movie/323817
1646,ビブリア古書堂の事件手帖,2018年,120分,日本,青春,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.91,1011,10.1,18.0,37.3,22.2,12.5,2.47368,3.32547,2.40384,3.07619,2.89473,https://movies.yahoo.co.jp/movie/359685
1647,劇場版 遊☆戯☆王 THE DARK SIDE OF DIMENSIONS,2016年,130分,日本,アクション,アドベンチャー,アニメ,ジャンル記載なし,4.21,1011,64.5,13.7,9.1,3.5,9.3,3.92753,4.36956,4.36231,4.62318,4.34782,https://movies.yahoo.co.jp/movie/352166
1648,劇場版ポケットモンスター みんなの物語,2018年,100分,日本,アドベンチャー,ファミリー,アニメ,ジャンル記載なし,3.88,1011,41.5,27.0,16.9,6.8,7.7,3.84684,3.83636,3.77272,4.01818,3.87155,https://movies.yahoo.co.jp/movie/362714
1649,カムイ外伝,2009年,120分,日本,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.62,1010,10.5,15.0,24.0,27.3,23.3,2.57014,3.5423,2.3868,2.36645,2.45335,https://movies.yahoo.co.jp/movie/332894
1650,リズと青い鳥,2018年,90分,日本,青春,アニメ,ジャンル記載なし,ジャンル記載なし,3.87,1009,48.4,22.5,9.9,6.1,13.1,3.54166,3.7,3.88541,4.13541,4.13541,https://movies.yahoo.co.jp/movie/360845
1651,UDON,2006年,134分,日本,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.05,1009,13.9,25.5,29.2,14.9,16.6,2.8409,3.47727,2.87589,3.10556,2.94142,https://movies.yahoo.co.jp/movie/324736
1652,ナイロビの蜂,2005年,128分,イギリス,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.61,1008,20.6,37.0,29.2,9.0,4.2,3.58767,3.90973,3.58907,3.90023,3.58194,https://movies.yahoo.co.jp/movie/323841
1653,パワーレンジャー,2017年,124分,"アメリカ,カナダ",アクション,特撮,ジャンル記載なし,ジャンル記載なし,3.09,1005,13.4,23.1,33.5,18.8,11.1,2.91747,3.18137,2.98048,3.59024,3.14634,https://movies.yahoo.co.jp/movie/359063
1654,ダンガル　きっと、つよくなる,2016年,140分,インド,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,4.36,1005,53.7,33.4,9.5,1.7,1.7,4.50344,4.61379,4.46896,4.34027,4.375,https://movies.yahoo.co.jp/movie/363224
1655,崖っぷちの男,2011年,102分,アメリカ,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,3.55,1004,14.4,39.2,35.9,7.5,3.0,3.73293,3.8988,3.74183,3.58507,3.33939,https://movies.yahoo.co.jp/movie/341804
1656,クロユリ団地,2013年,106分,日本,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.1,1003,7.8,7.3,16.5,23.9,44.6,2.13008,2.53673,2.18533,2.29387,2.40412,https://movies.yahoo.co.jp/movie/344643
1657,愛がなんだ,2018年,123分,日本,コメディ,ドラマ,ロマンス,ジャンル記載なし,3.47,1003,18.9,34.3,30.0,8.7,8.1,3.68613,4.23357,3.67391,3.67647,3.30882,https://movies.yahoo.co.jp/movie/365596
1658,ザ・ビートルズ　EIGHT DAYS A WEEK ‐The Touring Years,2016年,上映時間記載なし,イギリス,ドキュメンタリー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.15,1002,48.5,29.4,14.5,3.9,3.7,4.0,4.48507,4.01492,4.55474,4.80575,https://movies.yahoo.co.jp/movie/357100
1659,任侠ヘルパー,2012年,134分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.29,1001,60.3,20.3,11.4,4.5,3.5,4.28024,4.58116,4.30532,4.25614,4.11224,https://movies.yahoo.co.jp/movie/342451
1660,リンカーン,2012年,150分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.37,1000,16.3,29.3,34.8,13.8,5.8,3.4878,4.20121,3.57621,3.70948,3.44923,https://movies.yahoo.co.jp/movie/344128
1661,12人の優しい日本人,1991年,116分,日本,コメディ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.91,1000,33.0,38.5,18.1,7.1,3.3,4.125,4.24242,3.99563,3.47577,3.36403,https://movies.yahoo.co.jp/movie/151574
1662,ロック、ストック＆トゥー・スモーキング・バレルズ,1998年,108分,イギリス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.3,1000,52.6,31.1,11.6,3.0,1.7,4.43043,4.30131,4.3728,4.27074,4.34782,https://movies.yahoo.co.jp/movie/85120
1663,マーガレット・サッチャー　鉄の女の涙,2011年,105分,イギリス,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.43,999,13.4,33.2,39.5,10.3,3.5,3.47863,4.55681,3.72934,3.72079,3.41714,https://movies.yahoo.co.jp/movie/341452
1664,ロスト・イン・トランスレーション,2003年,102分,"アメリカ,日本",ロマンス,ドラマ,コメディ,ジャンル記載なし,3.29,998,16.7,28.4,30.6,15.4,8.9,3.31141,3.89655,3.43642,3.75432,3.4862,https://movies.yahoo.co.jp/movie/319160
1665,ニューヨーク　眺めのいい部屋売ります,2014年,92分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.66,998,19.9,41.1,28.1,6.7,4.2,3.64077,4.4466,3.74757,3.72549,3.59,https://movies.yahoo.co.jp/movie/354251
1666,キャリー,2013年,100分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.03,997,7.9,20.0,45.5,20.6,6.0,3.45787,3.44688,3.07326,3.36996,2.88278,https://movies.yahoo.co.jp/movie/344055
1667,ハルチカ,2016年,118分,日本,青春,ロマンス,ジャンル記載なし,ジャンル記載なし,3.34,997,39.9,13.4,11.7,10.9,24.0,3.55737,4.00409,3.54508,3.82786,4.23673,https://movies.yahoo.co.jp/movie/357927
1668,ラストベガス,2013年,105分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.7,995,21.7,39.1,29.9,6.6,2.7,3.5913,4.48275,3.69827,3.66086,3.80172,https://movies.yahoo.co.jp/movie/348496
1669,黄泉がえり,2002年,126分,日本,ドラマ,ファンタジー,ホラー,ジャンル記載なし,3.78,994,32.4,29.1,26.7,7.9,4.0,3.42105,3.73684,3.13274,3.26548,3.875,https://movies.yahoo.co.jp/movie/239980
1670,あなたを忘れない,2006年,130分,"日本,韓国",ドラマ,青春,ロマンス,ジャンル記載なし,1.61,993,8.9,4.7,3.8,3.4,79.2,1.58674,1.75555,1.54454,1.64357,1.81208,https://movies.yahoo.co.jp/movie/326060
1671,ゲティ家の身代金,2017年,133分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.34,993,9.5,33.3,42.7,11.0,3.5,3.27027,3.79729,3.35135,3.49324,3.08163,https://movies.yahoo.co.jp/movie/362740
1672,木更津キャッツアイ　ワールドシリーズ,2006年,131分,日本,コメディ,ドラマ,青春,ジャンル記載なし,4.15,992,51.9,24.5,14.3,4.7,4.5,4.15957,4.64968,4.25,4.11727,4.18629,https://movies.yahoo.co.jp/movie/324402
1673,ドリームハウス,2011年,92分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.62,991,18.3,40.0,31.3,7.0,3.5,3.89898,4.19796,3.76142,3.65641,3.38144,https://movies.yahoo.co.jp/movie/343472
1674,嘘八百,2017年,105分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.16,991,12.0,24.1,39.8,16.5,7.7,2.9,3.9923,3.01538,2.98461,2.82945,https://movies.yahoo.co.jp/movie/361607
1675,新しい靴を買わなくちゃ,2012年,115分,日本,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.36,991,12.8,12.4,15.9,15.5,43.3,2.69964,3.29225,2.96441,3.75,3.60777,https://movies.yahoo.co.jp/movie/342746
1676,バットマン,1989年,127分,アメリカ,アクション,SF,ジャンル記載なし,ジャンル記載なし,3.68,990,19.5,38.9,33.1,7.1,1.4,3.69677,4.27096,3.99354,4.0258,4.03225,https://movies.yahoo.co.jp/movie/18187
1677,トータル・リコール,1990年,113分,アメリカ,アクション,SF,ジャンル記載なし,ジャンル記載なし,3.71,990,18.4,43.5,30.6,5.7,1.8,4.19834,4.25833,4.04958,3.99173,3.85,https://movies.yahoo.co.jp/movie/15784
1678,僕のヒーローアカデミア THE MOVIE　2人の英雄（ヒーロー）,2018年,96分,日本,アクション,アニメ,ジャンル記載なし,ジャンル記載なし,4.22,990,57.6,21.6,11.5,3.3,6.0,3.75757,4.34848,4.21212,4.40909,4.23484,https://movies.yahoo.co.jp/movie/362717
1679,トワイライト初恋,2008年,122分,アメリカ,青春,ロマンス,ホラー,ジャンル記載なし,3.64,990,27.6,30.6,25.6,11.0,5.3,3.60041,3.81341,3.53894,3.84842,3.79281,https://movies.yahoo.co.jp/movie/332281
1680,アドレナリン,2006年,94分,"アメリカ,イギリス",アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.35,989,15.7,28.6,35.5,15.5,4.8,3.05937,3.76012,3.4,3.40372,3.39184,https://movies.yahoo.co.jp/movie/327012
1681,トゥルー・グリット,2010年,110分,アメリカ,西部劇,ドラマ,ジャンル記載なし,ジャンル記載なし,3.68,989,21.6,36.3,32.8,7.3,2.0,3.75718,4.34504,3.92971,4.02243,3.6891,https://movies.yahoo.co.jp/movie/338090
1682,ダイバージェント,2014年,139分,アメリカ,SF,アクション,アドベンチャー,ジャンル記載なし,2.88,989,8.4,19.3,37.0,22.0,13.3,2.69098,3.13247,2.81115,3.18376,2.87982,https://movies.yahoo.co.jp/movie/348088
1683,ライト/オフ,2016年,81分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.32,988,12.2,30.5,39.7,12.7,5.1,3.24117,3.53846,3.68823,3.55294,3.12352,https://movies.yahoo.co.jp/movie/357137
